Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
7280,1030,1467,43.84,28.18,106.9,73.8
7282,32.01,411.7,22.08,15.88,31.43,22.06
7304,1768,465.8,20.15,35.06,600.1,44.95
7321,5530,798.9,27.82,36.85,81.93,39.26
7332,6081,491.4,16.29,241.3,3627,23.85
7341,1313,1406,33.53,173.8,2403,47.13
7343,2.22E+04,5853,892.4,648.2,9654,263.6
7347,730.1,2146,37.74,24.04,58,54.67
7366,5207,967.3,21.24,125.1,2603,76.66
7380,7751,768.6,22.76,296.9,5579,45.16
7385,3434,303.5,15.71,81.72,1017,21.19
7390,6705,702.8,21.7,82.98,1435,40.15
7403,387.5,348,55.46,42.39,76.01,37.5
7418,9850,3192,39.11,143.3,3365,53.75
7419,597.3,785.5,19.06,32.54,46.18,31.67
7425,4452,851.4,21.52,51.11,69.29,55.02
7426,6659,554.5,18.32,121,1710,59.84
7436,528.9,295.7,23.29,10.89,33.79,26.06
7441,5600,832.9,25.19,170.5,2444,49.73
7442,213.5,370.9,15.8,29.4,44.65,68.86
7444,3.199E+04,4.555E+04,121.2,97.58,125.7,398
7446,2.714E+04,4761,1804,720.6,9305,526.2
7450,2.535E+04,9195,76.29,253.2,2386,103.7
7454,4845,1290,36.13,87.41,1209,50.01
7456,1.074E+04,2738,2782,789.6,6907,802
7458,1.013E+04,2749,51.88,38.55,70.63,73.01
7460,4732,384.1,12.78,86.21,1572,28.98
7478,4830,1427,241.7,589.2,1235,218.1
7479,941.9,959.4,51.27,73.01,144.4,103.3
7482,304.7,451.3,26.37,15.97,37.44,25.24
7500,8344,1719,29.36,99.94,2298,49.39
7502,6215,406.2,21.84,113.8,2314,30.79
7509,2.828E+04,5970,1887,764.8,1.037E+04,494.1
7544,9959,3819,58.6,41.14,58.31,113
